onet_code,occupation,cluster_id,level,is_canonical,typical_years_from_entry,notes
31-1131.00,Nursing Assistants,nursing,1,true,0,Entry point. CNA certification ~4-12 weeks.
29-2061.00,Licensed Practical and Licensed Vocational Nurses,nursing,2,true,1,Optional intermediate step. 1-year diploma. Many go CNA→RN directly.
29-1141.00,Registered Nurses,nursing,3,true,3,Core career destination. ADN (2yr) or BSN (4yr) from entry.
29-1141.01,Acute Care Nurses,nursing,3,false,3,Specialization of RN. Hospital-based. No extra degree. Inherits RN outbound transitions.
29-1141.03,Critical Care Nurses,nursing,3,false,3,Specialization of RN. ICU/CCU focus. Adds explicit exception: → CRNA.
29-1171.00,Nurse Practitioners,nursing,4,true,7,Master's required (~2yr beyond RN).
29-1161.00,Nurse Midwives,nursing,4,true,7,Master's required. Obstetric focus.
29-1141.04,Clinical Nurse Specialists,nursing,4,true,7,Master's required. Clinical/systems focus.
29-1141.02,Advanced Practice Psychiatric Nurses,nursing,4,true,7,Master's required. Mental health track.
29-1151.00,Nurse Anesthetists,nursing,5,true,10,Doctoral required. Highest-paid nursing role.
25-1072.00,Nursing Instructors and Teachers Postsecondary,nursing,5,true,10,Teaching track. Master's or Doctoral. Exits clinical practice.
33-3051.00,Police and Sheriff's Patrol Officers,law-enforcement,1,true,0,Entry point. Police academy ~6 months. Must be hired by a department first.
33-3021.02,Police Identification and Records Officers,law-enforcement,1,false,0,Specialization of patrol. Forensic/clerical focus. Lower resilience score.
33-3021.00,Detectives and Criminal Investigators,law-enforcement,2,true,5,Investigative track. Promoted from patrol. No additional degree typically required.
33-1012.00,First-Line Supervisors of Police and Detectives,law-enforcement,2,true,5,Management track. Promoted from patrol. Parallel to detective track.
33-3052.00,Transit and Railroad Police,transit-police,1,true,0,Entry point. Transit agency academy. Direct public hire — not a promotion from municipal patrol.
33-9021.00,Private Detectives and Investigators,law-enforcement,3,true,8,Lateral exit from law enforcement. Private sector. Often ex-detective or ex-patrol.
21-1092.00,Probation Officers and Correctional Treatment Specialists,law-enforcement,2,true,0,Adjacent lateral entry. Requires bachelor's. Different agency but overlapping career community.
53-2022.00,Airfield Operations Specialists,aviation-operations,3,true,0,Entry point. Associate's degree typical. Ground-side airport safety and compliance.
53-2021.00,Air Traffic Controllers,aviation-operations,4,true,2,FAA Academy + facility-specific training (~2yr from entry). Max hire age 31. Mandatory retirement at 56.
53-6051.01,Aviation Inspectors,aviation-operations,4,true,2,FAA Safety Inspector designation. Parallel advancement from airfield ops. No max hire age.
53-6032.00,Aircraft Service Attendants,aviation-operations,1,true,0,Entry point. No degree required. Ramp agent work -- marshaling aircraft, de-icing, ground servicing. Direct airfield presence.
15-1251.00,Computer Programmers,software-technology,1,true,0,Entry point. Junior/associate developer role. Writes and tests code under supervision. Often first job out of bootcamp or CS degree.
15-1254.00,Web Developers,software-technology,2,true,1,Core role. Builds and maintains websites and web applications. Frontend, backend, or full-stack. 1yr experience typical before advancement.
15-1255.00,Web and Digital Interface Designers,software-technology,2,true,1,Design specialization. UX/UI focus. Visual design, wireframing, user research. Parallel track to web development.
15-1299.01,Web Administrators,software-technology,2,false,1,Infrastructure specialization. Server configuration, deployment, uptime, and access management. DevOps-adjacent track.
15-1253.00,Software Quality Assurance Analysts and Testers,software-technology,2,false,1,QA specialization. Automated and manual testing, CI/CD pipelines, defect tracking. Often starts alongside web dev work.
15-1252.00,Software Developers,software-technology,3,true,3,Canonical advancement. Broader engineering scope — backend systems, APIs, architecture. Moves beyond web-specific work.
15-1243.00,Database Architects,software-technology,3,false,3,Data track. Designs and manages database systems. Common specialization for developers with backend/data focus.
15-1299.08,Computer Systems Engineers/Architects,software-technology,4,true,5,Technical leadership track. Designs full system architectures, infrastructure, and integration strategies.
15-1212.00,Information Security Analysts,software-technology,3,true,4,Security specialization. Lateral move requiring dedicated security retraining. Very high resilience and demand.
15-2051.00,Data Scientists,software-technology,4,true,4,Data and ML track. Lateral move into statistical modeling, ML pipelines, and data analysis. Requires retraining in ML/stats.
15-1299.09,Information Technology Project Managers,software-technology,4,true,5,Management track. Leads engineering teams and delivery. Common exit from senior individual contributor roles.
15-1221.00,Computer and Information Research Scientists,software-technology,5,true,7,Research track. Doctoral-level applied research in CS, AI, or systems. Terminal academic or industry research role.
41-2031.00,Retail Salespersons,sales,1,true,0,Lowest-barrier entry. HS diploma typical. High-volume occupation — direct customer sales experience. Canonical general entry point.
41-3021.00,Insurance Sales Agents,sales,1,true,0,Specialized entry. State insurance license required (pre-licensing course + exam). Bachelor's common but not required. Higher commission ceiling than retail from day one.
"41-4012.00","Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",sales,2,true,2,Core B2B mid-level role. Cold/warm outreach, account management, quota-driven. Higher ceiling than retail. Canonical L2 role.
41-9022.00,Real Estate Sales Agents,sales,2,true,2,Real estate track. State salesperson license required (75–150hr pre-licensing course + exam). Commission-based. Parallel to general B2B track.
41-9021.00,Real Estate Brokers,sales,3,true,5,Broker license upgrade from agent. Additional state broker exam + ~2yr experience as agent required. Can operate independently or manage other agents.
41-9031.00,Sales Engineers,sales,3,true,3,Technical sales track. Explains and sells complex technical products. Typically lateral entry from an engineering or technical field rather than internal promotion from sales reps. High resilience due to domain expertise requirement.
11-2022.00,Sales Managers,sales,4,true,7,Leadership destination. Manages sales team strategy, quotas, hiring, and forecasting. Most commonly promoted from senior B2B sales reps or sales engineers.
43-3031.00,Bookkeeping Accounting and Auditing Clerks,finance,1,true,0,Entry point. No degree required. Bookkeeping certificate or associate's common.
13-2082.00,Tax Preparers,finance,1,false,0,Alternate entry. IRS AFSP or CPA exam path. Certificate-level barrier.
13-2011.00,Accountants and Auditors,finance,2,true,2,Core mid-level. CPA credential accelerates advancement. Requires bachelor's.
13-2072.00,Loan Officers,finance,3,false,4,Lending specialization. NMLS license required for mortgage. Bachelor's typical.
13-2041.00,Credit Analysts,finance,3,false,3,Credit risk specialization. Bank/corporate credit analysis. Natural feeder to Financial Risk Specialist. Bachelor's typical; CFA valued.
13-2052.00,Personal Financial Advisors,finance,3,false,4,Wealth/planning specialization. CFP credential preferred. Series 65/66 common.
13-2054.00,Financial Risk Specialists,finance,3,false,5,Risk analytics branch. FRM credential valued. Quant skills required.
13-2071.00,Credit Counselors,finance,3,false,4,Consumer credit branch. Nonprofit sector common. NFCC certification available.
13-2053.00,Insurance Underwriters,finance,3,false,4,Underwriting specialization. CPCU or AU designations for advancement.
13-2099.04,Fraud Examiners Investigators and Analysts,finance,4,false,5,Investigative/forensic branch. CFE credential standard. High offensive score — AI/ML for anomaly detection boosts the role rather than replacing it.
13-2061.00,Financial Examiners,finance,4,true,6,Senior regulatory/compliance role. Federal/state agency or bank examiner. Highest resilience in cluster.
11-3031.00,Financial Managers,finance,5,true,8,Leadership destination. CFO track. $162k median. Oversees all financial operations.
13-1161.00,Market Research Analysts and Marketing Specialists,marketing,1,true,0,Entry point. Data-driven marketing research. Bachelor's typical. Shared with analysts cluster.
41-3011.00,Advertising Sales Agents,sales,1,false,0,Specialized entry. Advertising/media sales. Commission-based. Cross-family lateral to marketing cluster (Search Marketing Strategist).
13-1161.01,Search Marketing Strategists,marketing,2,true,2,Core digital role. Google Ads + Analytics certs. Natural progression from market research.
27-3031.00,Public Relations Specialists,marketing,3,false,3,PR/comms specialization branch. Bachelor's in PR or comms typical. Media relations focus.
27-3043.00,Writers and Authors,marketing,3,false,3,Content specialization branch. Freelance or in-house. Portfolio-driven. Low barrier but competitive.
27-3041.00,Editors,marketing,3,false,4,Content/editorial branch. Manages content quality and strategy. Common at media and content-heavy firms.
11-2011.00,Advertising and Promotions Managers,marketing,4,false,5,Campaign leadership. Broadens from digital to full media mix. Often from search marketing track.
11-2021.00,Marketing Managers,marketing,5,true,8,Leadership destination. Full marketing strategy ownership. $161k median. CMO feeder role.
