month,topic,share_of_messages
2024-07-01,Multimedia,0.020
2024-07-01,Other/Unknown,0.033
2024-07-01,Practical Guidance,0.262
2024-07-01,Seeking information,0.168
2024-07-01,Self-expression,0.039
2024-07-01,Technical help,0.136
2024-07-01,Writing,0.342
2024-08-01,Multimedia,0.026
2024-08-01,Other/Unknown,0.037
2024-08-01,Practical Guidance,0.259
2024-08-01,Seeking information,0.167
2024-08-01,Self-expression,0.044
2024-08-01,Technical help,0.123
2024-08-01,Writing,0.343
2024-09-01,Multimedia,0.034
2024-09-01,Other/Unknown,0.035
2024-09-01,Practical Guidance,0.272
2024-09-01,Seeking information,0.167
2024-09-01,Self-expression,0.044
2024-09-01,Technical help,0.121
2024-09-01,Writing,0.328
2024-10-01,Multimedia,0.043
2024-10-01,Other/Unknown,0.037
2024-10-01,Practical Guidance,0.279
2024-10-01,Seeking information,0.167
2024-10-01,Self-expression,0.046
2024-10-01,Technical help,0.120
2024-10-01,Writing,0.309
2024-11-01,Multimedia,0.040
2024-11-01,Other/Unknown,0.040
2024-11-01,Practical Guidance,0.277
2024-11-01,Seeking information,0.173
2024-11-01,Self-expression,0.051
2024-11-01,Technical help,0.109
2024-11-01,Writing,0.309
2024-12-01,Multimedia,0.037
2024-12-01,Other/Unknown,0.041
2024-12-01,Practical Guidance,0.276
2024-12-01,Seeking information,0.174
2024-12-01,Self-expression,0.065
2024-12-01,Technical help,0.103
2024-12-01,Writing,0.304
2025-01-01,Multimedia,0.039
2025-01-01,Other/Unknown,0.042
2025-01-01,Practical Guidance,0.274
2025-01-01,Seeking information,0.180
2025-01-01,Self-expression,0.061
2025-01-01,Technical help,0.093
2025-01-01,Writing,0.311
2025-02-01,Multimedia,0.040
2025-02-01,Other/Unknown,0.042
2025-02-01,Practical Guidance,0.285
2025-02-01,Seeking information,0.181
2025-02-01,Self-expression,0.070
2025-02-01,Technical help,0.092
2025-02-01,Writing,0.290
2025-03-01,Multimedia,0.054
2025-03-01,Other/Unknown,0.044
2025-03-01,Practical Guidance,0.279
2025-03-01,Seeking information,0.178
2025-03-01,Self-expression,0.076
2025-03-01,Technical help,0.083
2025-03-01,Writing,0.285
2025-04-01,Multimedia,0.093
2025-04-01,Other/Unknown,0.049
2025-04-01,Practical Guidance,0.273
2025-04-01,Seeking information,0.161
2025-04-01,Self-expression,0.091
2025-04-01,Technical help,0.073
2025-04-01,Writing,0.259
2025-05-01,Multimedia,0.070
2025-05-01,Other/Unknown,0.048
2025-05-01,Practical Guidance,0.288
2025-05-01,Seeking information,0.176
2025-05-01,Self-expression,0.079
2025-05-01,Technical help,0.070
2025-05-01,Writing,0.269
2025-06-01,Multimedia,0.070
2025-06-01,Other/Unknown,0.050
2025-06-01,Practical Guidance,0.281
2025-06-01,Seeking information,0.185
2025-06-01,Self-expression,0.091
2025-06-01,Technical help,0.062
2025-06-01,Writing,0.261
2025-07-01,Multimedia,0.068
2025-07-01,Other/Unknown,0.054
2025-07-01,Practical Guidance,0.275
2025-07-01,Seeking information,0.191
2025-07-01,Self-expression,0.102
2025-07-01,Technical help,0.060
2025-07-01,Writing,0.251
2025-08-01,Multimedia,0.064
2025-08-01,Other/Unknown,0.051
2025-08-01,Practical Guidance,0.286
2025-08-01,Seeking information,0.188
2025-08-01,Self-expression,0.095
2025-08-01,Technical help,0.057
2025-08-01,Writing,0.258
2025-09-01,Multimedia,0.064
2025-09-01,Other/Unknown,0.056
2025-09-01,Practical Guidance,0.290
2025-09-01,Seeking information,0.188
2025-09-01,Self-expression,0.078
2025-09-01,Technical help,0.059
2025-09-01,Writing,0.265
2025-10-01,Multimedia,0.069
2025-10-01,Other/Unknown,0.050
2025-10-01,Practical Guidance,0.292
2025-10-01,Seeking information,0.185
2025-10-01,Self-expression,0.079
2025-10-01,Technical help,0.059
2025-10-01,Writing,0.267
2025-11-01,Multimedia,0.057
2025-11-01,Other/Unknown,0.051
2025-11-01,Practical Guidance,0.299
2025-11-01,Seeking information,0.182
2025-11-01,Self-expression,0.087
2025-11-01,Technical help,0.059
2025-11-01,Writing,0.265
2025-12-01,Multimedia,0.045
2025-12-01,Other/Unknown,0.053
2025-12-01,Practical Guidance,0.307
2025-12-01,Seeking information,0.183
2025-12-01,Self-expression,0.095
2025-12-01,Technical help,0.053
2025-12-01,Writing,0.264
